headline,description,author
सुरु भयो ‘नेपाल आर्ट एन्ड कल्चर फेस्टिभल’,'नेपाल आर्ट एन्ड कल्चर फेस्टिभल २०२५' (एनएसी फेस्ट) आजदेखि सुरु भएको छ । नेपाल आर्ट काउन्सिलमा 'रुट्स एण्ड रिफ्लेक्सन' शीर्षकमा चित्रकला प्रदर्शनी गर्दै एनएसी फेस्ट सुरु भएको हो ।,रीना मोक्तान
सनी देओलको हातमा फिल्म नै फिल्म,बलिउड अभिनेता सनी देओल अहिले दुई फिल्मको तयारीमा छन् । आगामी वर्ष(२०२६) उनका लागि खास हुन सक्छ ।अर्को वर्ष उनका फिल्म एकपछि अर्को रिलिज हुनेछन् ।,कान्तिपुर संवाददाता
नाजिरको अभिनयले जोगाएको 'गुन्यो चोलो',"निर्देशकसँग आफ्नो फिल्ममा दर्शक बाँध्ने गजब्बको तत्त्व हुन्छ । मुख्य पात्रको एउटा ठूलै सपना/लक्ष्य हुन्छ । त्यो लक्ष्यसम्म पुग्न उक्त पात्रले संघर्षका थुप्रै पहाड उक्लनुपर्ने हुन्छ । तर, ती पहाड सजिलै उक्लन सकिने किसिमका हुँदैनन् । त्यसैले जब-जब पात्रले आफ्नो लक्ष्य प्राप्तिका लागि यस्ता पहाडहरू उक्लन सङ्घर्ष गर्दै जान्छन्, दर्शकलाई लाग्छ- ओहो !",रीना मोक्तान
ओटीटीमा रिलिज हुँदैछ अक्षय कुमारको फ्लप फिल्म,विष्णु मांचू र अक्षय कुमार स्टारर ‘कन्नप्पा’ हेर्नुभयो ? यो फिल्मले हलहरूमा खासै दर्शक पाएन । अब यो फील्म ओटीटीमा रिलिज हुने भएको छ ।,कान्तिपुर संवाददाता
चलचित्र ल्याबले 'प्रड्युसर्स वर्कशप' गर्ने,चलचित्र ल्याबले नेपालमा २ हप्ताको 'प्रड्युसर्स वर्कशप' गर्ने भएको छ । भदौ २३ देखि असोज ३ सम्म चल्ने यो वर्कशप विशेष त ‘प्रड्युसर’ लक्षित हो ।,कान्तिपुर संवाददाता
'हर्ष'को पोस्टरमा खगेन्द्र र वर्षा,एकता पौडेलको डेब्यू निर्देशनमा बनेको फिल्म 'हर्ष'को पोस्टर सार्वजनिक भएको छ । हालै निर्माण पक्षले फिल्मको दुई पोस्टर सार्वजनिक गरेका हुन् ।,कान्तिपुर संवाददाता
‘हरिबहादुरको जुत्ता’ को नयाँ गीत बजारमा,फिल्म 'हरिबहादुरको जुत्ता'को गीत सार्वजनिक भएको छ । निर्माण पक्षले आशिष अविरल र मेलिना राईको स्वरमा 'ढाका टोपी शिरैमा' बोलको गीत सार्वजनिक गरेको हो।,कान्तिपुर संवाददाता
आजकल केमा व्यस्त छन् महेश बाबु ?,"साउथ सुपरस्टार महेश बाबुको फ्यान भारतमा मात्र हैन, नेपालमा पनि प्रशस्तै छन् । दर्शकहरू उनको फिल्मको प्रतीक्षा गरिरहेका हुन्छन् ।",कान्तिपुर संवाददाता
गंगा सोनामले जितिन् 'नेपाल आइडल-६' को उपाधि,"गायन प्रतियोगिता ‘नेपाल आइडल-६’ (छैटौं संस्करण)को उपाधि सिन्धुपाल्चोककी गंगा सोनामले जितेकी छन् । आइतबार साँझ भएको अन्तिम प्रतिस्पर्धामा बबिता थापा मगर, दर्शना गन्धारी, अभिनय खाती, मृनल मानन्धरलाई पछि पार्दै सोनामले उपाधि हात पारेकी हुन् । गंगाले २५ लाखको चेक पुरस्कार पाइन् ।",कान्तिपुर संवाददाता
तामाङ चलचित्र संघले मनायो '३० औं तामाङ चलचित्र प्रदर्शन दिवस',तामाङ चलचित्र संघले ३० औं तामाङ चलचित्र प्रदर्शन दिवस मनाएको छ । काठमाडौंमा शनिबार विभिन्न स्रष्टा सम्मान र सांस्कृतिक कार्यक्रमसहित तामाङ चलचित्र दिवस मनाइएको हो ।,कान्तिपुर संवाददाता
हिल्समा हिँड्न डराउने मिस नेपाल !,तपाईंलाई थाहा छ ? मिस नेपाल २०२५ मा आउनुअघि लुना लुइँटेललाई के कुराको सबैभन्दा धेरै डर थियो ?,कान्तिपुर संवाददाता
कौसी थिएटरमा ‘काली पार’,टेकुस्थित कौसी थिएटरमा नाटक 'काली पार' मञ्चनमा आएको छ । रंगकर्मी मुक्तिको लेखनमा तयार भएको यो नाटकलाई मुक्ति र प्रवीण पौडेलले मिलेर निर्देशन गरेका हुन् ।,कान्तिपुर संवाददाता
‘तेस्रो युवा लघु सिनेमा प्रतियोगिता’ मा ‘ईग्लू’ प्रथम,फिल्म अध्यापन गराउँदै आएको अस्कर अन्तर्राष्ट्रिय कलेजले आयोजना गरेको 'तेस्रो युवा लघु सिनेमा प्रतियोगिता'मा उज्जवल श्रेष्ठको 'ईग्लू' प्रथम भएको छ । २१ वर्षदेखि फिल्म पढाउँदै आएको अस्करको यो प्रतियोगितामा प्रथम बनेका उज्जवलले पुरस्कारमा नगद एक लाख प्राप्त गरेको छ ।,कान्तिपुर संवाददाता
शाहरुखको अधुरो प्रोजेक्टमा काम गर्दै प्रियंका,शाहरुख खान र प्रियंका चोपड़ा एक समय पर्दामा रुचाइएका जोडी मध्येका एक हुन् । यतिबेला यी दुवै आ–आफ्नम प्रोजेक्टमा व्यस्त छन् ।,कान्तिपुर संवाददाता
